"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","6,067,575","100"
"2","www.google.com","13,291,605","100"
"3","youtube.com","20,741,313","100"
"4","linkedin.com","10,694,943","99"
"5","play.google.com","3,616,023","99"
"6","microsoft.com","4,928,268","99"
"7","support.google.com","4,873,353","99"
"8","www.blogger.com","27,101,316","99"
"9","maps.google.com","4,706,621","98"
"10","mozilla.org","2,153,771","98"
"11","wordpress.org","11,181,900","98"
"12","youtu.be","4,677,120","98"
"13","en.wikipedia.org","6,548,277","98"
"14","cloudflare.com","5,859,514","98"
"15","docs.google.com","2,898,523","98"
"16","drive.google.com","2,150,183","97"
"17","plus.google.com","11,646,067","97"
"18","adobe.com","2,797,738","97"
"19","europa.eu","1,948,435","97"
"20","sites.google.com","1,990,839","97"
"21","accounts.google.com","2,535,165","97"
"22","googleusercontent.com","2,468,457","97"
"23","whatsapp.com","2,547,689","97"
"24","es.wikipedia.org","904,612","96"
"25","istockphoto.com","3,304,376","96"
"26","uol.com.br","638,265","96"
"27","t.me","808,344","96"
"28","facebook.com","54,267,948","96"
"29","vk.com","1,686,185","96"
"30","amazon.com","4,670,172","96"
"31","bp.blogspot.com","16,753,786","96"
"32","github.com","2,468,943","96"
"33","vimeo.com","3,410,714","96"
"34","w3.org","1,113,024","95"
"35","mail.google.com","470,343","95"
"36","slideshare.net","969,653","95"
"37","issuu.com","929,820","95"
"38","myspace.com","1,359,570","95"
"39","policies.google.com","1,829,710","95"
"40","pt.wikipedia.org","397,567","95"
"41","fr.wikipedia.org","602,868","95"
"42","terra.com.br","200,063","95"
"43","dropbox.com","1,031,396","95"
"44","line.me","729,425","95"
"45","jimdofree.com","1,693,175","95"
"46","reuters.com","851,964","95"
"47","google.co.jp","644,559","95"
"48","bbc.co.uk","1,642,713","95"
"49","medium.com","1,449,079","95"
"50","live.com","819,090","95"
"51","who.int","1,937,508","95"
"52","netvibes.com","1,186,163","95"
"53","theguardian.com","1,471,074","95"
"54","paypal.com","1,036,804","95"
"55","www.yahoo.com","1,224,443","95"
"56","draft.blogger.com","10,001,335","95"
"57","gstatic.com","603,485","95"
"58","imdb.com","1,426,792","95"
"59","google.com.br","289,649","95"
"60","developers.google.com","1,018,529","95"
"61","forbes.com","1,361,499","95"
"62","www.weebly.com","4,570,423","95"
"63","msn.com","1,065,146","95"
"64","cnn.com","1,472,694","95"
"65","google.de","1,113,929","95"
"66","youronlinechoices.com","544,935","95"
"67","mail.ru","481,668","95"
"68","nytimes.com","2,045,130","95"
"69","bbc.com","804,556","95"
"70","nih.gov","1,263,720","95"
"71","google.es","461,803","95"
"72","dailymotion.com","1,111,942","95"
"73","files.wordpress.com","6,519,558","95"
"74","opera.com","844,959","95"
"75","brandbucket.com","11,124,245","95"
"76","news.google.com","737,608","95"
"77","wikimedia.org","1,688,071","95"
"78","creativecommons.org","1,667,243","95"
"79","globo.com","425,640","95"
"80","feedburner.com","1,762,238","95"
"81","office.com","422,858","94"
"82","dan.com","2,166,361","94"
"83","hugedomains.com","6,810,466","94"
"84","translate.google.com","287,389","94"
"85","aol.com","684,791","94"
"86","harvard.edu","684,719","94"
"87","archive.org","1,050,872","94"
"88","wa.me","804,974","94"
"89","cdc.gov","794,411","94"
"90","un.org","519,059","94"
"91","amazon.co.jp","801,588","94"
"92","elpais.com","392,052","94"
"93","forms.gle","567,816","94"
"94","news.yahoo.com","650,738","94"
"95","fb.com","412,076","94"
"96","independent.co.uk","649,208","94"
"97","namecheap.com","1,105,891","94"
"98","ru.wikipedia.org","366,876","94"
"99","bit.ly","4,582,081","94"
"100","plesk.com","698,540","94"
"101","bloomberg.com","791,089","94"
"102","list-manage.com","741,436","94"
"103","wired.com","620,814","94"
"104","mediafire.com","819,692","94"
"105","www.gov.uk","569,103","94"
"106","elmundo.es","225,365","94"
"107","scribd.com","733,693","94"
"108","ipv4.google.com","349,221","94"
"109","wsj.com","923,851","94"
"110","usatoday.com","773,197","94"
"111","fandom.com","532,149","94"
"112","mirror.co.uk","327,674","94"
"113","google.co.uk","581,508","94"
"114","marketingplatform.google.com","813,105","94"
"115","gravatar.com","10,121,581","94"
"116","ok.ru","345,976","94"
"117","google.it","430,628","94"
"118","nasa.gov","631,802","94"
"119","aboutads.info","540,735","94"
"120","telegram.me","310,787","94"
"121","washingtonpost.com","1,056,727","94"
"122","thesun.co.uk","324,320","94"
"123","amazon.de","530,416","94"
"124","samsung.com","335,629","94"
"125","picasaweb.google.com","637,169","94"
"126","de.wikipedia.org","644,037","94"
"127","time.com","742,601","94"
"128","amazon.es","177,186","94"
"129","dailymail.co.uk","959,230","94"
"130","ig.com.br","147,801","94"
"131","goo.gl","4,429,756","94"
"132","businessinsider.com","703,541","94"
"133","ebay.com","921,792","94"
"134","estadao.com.br","121,616","94"
"135","change.org","461,040","94"
"136","android.com","287,311","94"
"137","privacyshield.gov","427,913","94"
"138","4shared.com","540,411","94"
"139","cnet.com","643,719","94"
"140","search.google.com","1,177,869","94"
"141","huffingtonpost.com","1,034,951","94"
"142","google.pl","211,927","94"
"143","abcnews.go.com","544,127","94"
"144","networkadvertising.org","701,797","94"
"145","soundcloud.com","1,746,737","94"
"146","booking.com","372,970","94"
"147","twitter.com","55,842,629","94"
"148","cpanel.net","1,484,480","94"
"149","amazon.co.uk","737,178","94"
"150","books.google.com","404,869","94"
"151","get.google.com","738,458","94"
"152","cpanel.com","1,395,300","94"
"153","myaccount.google.com","316,814","94"
"154","abril.com.br","253,463","94"
"155","foxnews.com","527,744","94"
"156","huffpost.com","1,098,622","94"
"157","photos.google.com","275,327","94"
"158","telegraph.co.uk","908,944","94"
"159","pinterest.com","8,128,043","94"
"160","it.wikipedia.org","321,622","94"
"161","buydomains.com","1,097,992","94"
"162","aliexpress.com","469,023","94"
"163","google.ru","192,912","94"
"164","google.fr","405,782","94"
"165","nature.com","530,102","94"
"166","tools.google.com","1,609,024","94"
"167","enable-javascript.com","6,596,430","94"
"168","rakuten.co.jp","584,121","94"
"169","tinyurl.com","1,357,990","94"
"170","cnbc.com","487,641","93"
"171","urbandictionary.com","242,859","93"
"172","berkeley.edu","446,156","93"
"173","spotify.com","1,347,295","93"
"174","godaddy.com","2,446,744","93"
"175","express.co.uk","277,505","93"
"176","academia.edu","345,083","93"
"177","ja.wikipedia.org","339,335","93"
"178","espn.com","358,153","93"
"179","bloglovin.com","501,431","93"
"180","my.yahoo.com","1,162,210","93"
"181","nationalgeographic.com","603,695","93"
"182","lemonde.fr","252,632","93"
"183","metro.co.uk","217,294","93"
"184","detik.com","380,050","93"
"185","akamaihd.net","486,998","93"
"186","home.neustar","467,962","93"
"187","cbc.ca","426,048","93"
"188","liberation.fr","120,313","93"
"189","sfgate.com","361,208","93"
"190","umich.edu","321,629","93"
"191","imageshack.us","807,811","93"
"192","chicagotribune.com","344,513","93"
"193","google.nl","244,480","93"
"194","outlook.com","280,380","93"
"195","twitch.tv","389,322","93"
"196","doubleclick.net","623,971","93"
"197","20minutos.es","151,123","93"
"198","webmd.com","636,009","93"
"199","spiegel.de","317,257","93"
"200","cornell.edu","419,062","93"
"201","rambler.ru","223,258","93"
